INFO:2021-04-01 00:49:09.5490:ConnectionTest.Program.Main:Testing Connection
DEBUG:2021-04-01 00:49:10.1354:ConnectionTest.Program.Main(Program.cs:16):Connected
DEBUG:2021-04-01 00:49:10.1500:ConnectionTest.Program.Main(Program.cs:18):Question 1:
DEBUG:2021-04-01 00:49:13.0936:ConnectionTest.Program.Main(Program.cs:18):Flight: 728dff9, Row: 1, Alt: 818.75
DEBUG:2021-04-01 00:49:13.1111:ConnectionTest.Program.Main(Program.cs:18):Flight: 728e695, Row: 1, Alt: 3371.354609929078
DEBUG:2021-04-01 00:49:13.1229:ConnectionTest.Program.Main(Program.cs:18):Flight: 728ed74, Row: 1, Alt: 650
DEBUG:2021-04-01 00:49:13.1229:ConnectionTest.Program.Main(Program.cs:18):Flight: 728fff0, Row: 1, Alt: 4700
DEBUG:2021-04-01 00:49:13.1392:ConnectionTest.Program.Main(Program.cs:18):Flight: 72900d3, Row: 1, Alt: 4429.819277108434
DEBUG:2021-04-01 00:49:13.1392:ConnectionTest.Program.Main(Program.cs:18):Flight: 7291bd6, Row: 1, Alt: 889.2857142857143
DEBUG:2021-04-01 00:49:13.1392:ConnectionTest.Program.Main(Program.cs:18):Flight: 7292355, Row: 1, Alt: 6253.507462686567
DEBUG:2021-04-01 00:49:13.1557:ConnectionTest.Program.Main(Program.cs:18):Flight: 729272c, Row: 1, Alt: 807.1428571428571
DEBUG:2021-04-01 00:49:13.1557:ConnectionTest.Program.Main(Program.cs:18):Flight: 7293b54, Row: 1, Alt: 14325.514285714286
DEBUG:2021-04-01 00:49:13.1557:ConnectionTest.Program.Main(Program.cs:18):Flight: 7293b66, Row: 1, Alt: 2471.0434782608695
DEBUG:2021-04-01 00:49:13.1988:ConnectionTest.Program.Main(Program.cs:18):Flight: 7294155, Row: 1, Alt: 1806.6666666666667
DEBUG:2021-04-01 00:49:13.2313:ConnectionTest.Program.Main(Program.cs:18):Flight: 72942ed, Row: 1, Alt: 8090.667052023121
DEBUG:2021-04-01 00:49:13.2514:ConnectionTest.Program.Main(Program.cs:18):Flight: 72948ce, Row: 1, Alt: 3542.951515151515
DEBUG:2021-04-01 00:49:13.2514:ConnectionTest.Program.Main(Program.cs:18):Flight: 72950bd, Row: 1, Alt: 4142.3
DEBUG:2021-04-01 00:49:13.2764:ConnectionTest.Program.Main(Program.cs:18):Flight: 7295dea, Row: 1, Alt: 17017.244680851065
DEBUG:2021-04-01 00:49:13.2909:ConnectionTest.Program.Main(Program.cs:18):Flight: 729721d, Row: 1, Alt: 1615.179487179487
DEBUG:2021-04-01 00:49:13.2995:ConnectionTest.Program.Main(Program.cs:18):Flight: 7297b83, Row: 1, Alt: 8030.417266187051
DEBUG:2021-04-01 00:49:13.2995:ConnectionTest.Program.Main(Program.cs:18):Flight: 7297bb5, Row: 1, Alt: 4384.294117647059
DEBUG:2021-04-01 00:49:13.3193:ConnectionTest.Program.Main(Program.cs:18):Flight: 7298a4a, Row: 1, Alt: 3280.9632352941176
DEBUG:2021-04-01 00:49:13.3193:ConnectionTest.Program.Main(Program.cs:18):Flight: 7299330, Row: 1, Alt: 6529.324637681159
DEBUG:2021-04-01 00:49:13.3193:ConnectionTest.Program.Main(Program.cs:18):Flight: 7299d77, Row: 1, Alt: 2133.3333333333335
DEBUG:2021-04-01 00:49:13.3434:ConnectionTest.Program.Main(Program.cs:18):Flight: 729af3e, Row: 1, Alt: 4963.625
DEBUG:2021-04-01 00:49:13.3434:ConnectionTest.Program.Main(Program.cs:18):Flight: 729b7d4, Row: 1, Alt: 3931.0384615384614
DEBUG:2021-04-01 00:49:13.3434:ConnectionTest.Program.Main(Program.cs:18):Flight: 729beec, Row: 1, Alt: 8652.225806451614
DEBUG:2021-04-01 00:49:13.3434:ConnectionTest.Program.Main(Program.cs:18):Flight: 729c8f9, Row: 1, Alt: 2400
